Food,Calories,Protein,Fat,Carbs,Fiber
mac and cheese,315.0,12.0,13.2,40.8,1.6
samosa,250.1,4.9,14.1,29.5,2.2
chana masala,166.3,9.2,2.5,27.6,7.4
steak,274.1,26.6,18.0,0.0,0.0
mutton biryani,227.9,16.2,9.7,26.0,0.8
milk,59.4,3.2,3.3,4.7,0.0
biryani,192.5,9.2,7.0,27.2,0.8
nihari,176.1,14.7,11.1,4.2,0.5
dates,266.0,1.8,0.2,71.4,6.9
grilled chicken,158.6,31.5,3.7,0.0,0.0
honey,291.0,0.3,0.0,81.6,0.2
green tea,1.9,0.0,0.0,0.5,0.0
peanut butter toast,257.9,10.3,14.3,25.8,3.0
broccoli,35.7,2.9,0.4,6.7,2.6
mutton biryani,220.2,16.2,10.4,28.2,0.8
naan,329.1,9.3,5.9,55.0,2.1
protein shake,155.3,29.8,3.1,8.0,1.0
green tea,1.9,0.0,0.0,0.5,0.0
dates,284.9,1.8,0.2,75.3,6.5
dahi,61.2,3.4,3.1,4.6,0.0
lentils,120.5,8.6,0.4,20.5,8.3
pulao,186.6,5.9,4.9,26.8,0.8
mac and cheese,317.5,11.8,13.2,38.4,1.6
raita,58.6,3.0,3.5,4.3,0.0
daal,121.5,8.0,0.4,19.3,8.2
mixed vegetables,55.6,2.6,0.5,9.9,3.6
grilled salmon,205.4,20.3,12.8,0.0,0.0
pasta,228.1,8.4,5.1,37.9,2.5
avocado toast,234.0,5.9,14.9,22.3,5.9
chai,41.1,1.5,2.0,4.5,0.0
brown rice,114.1,2.7,0.9,22.8,1.8
boiled eggs,160.7,12.6,10.8,1.1,0.0
green tea,1.9,0.0,0.0,0.5,0.0
milk,59.0,3.1,3.3,4.7,0.0
ayran,53.9,3.0,2.6,5.1,0.0
samosa,264.7,5.1,14.2,30.0,2.3
paye,190.5,16.8,12.4,2.1,0.0
kidney beans,127.6,8.3,0.5,21.9,6.4
chana,161.7,8.9,2.6,26.6,7.4
mac and cheese,318.4,12.2,13.4,38.1,1.6
omelette,161.0,10.8,11.2,1.6,0.0
chicken breast,162.7,31.6,3.6,0.0,0.0
halwa,313.0,3.0,13.8,49.0,1.0
burger,306.3,16.6,13.5,24.7,1.5
halwa puri,364.7,6.2,17.3,47.8,1.5
protein shake,166.4,29.7,2.9,7.6,1.0
palak paneer,225.5,11.9,14.3,7.7,2.9
doner kebab,241.1,20.9,12.4,18.0,1.5
beef tacos,229.3,11.9,11.0,20.3,3.0
omelette,146.3,11.0,11.4,1.6,0.0
honey,317.0,0.3,0.0,86.5,0.2
